attendance,date,start_time,Stadium,weather,wind
45675,6/28/2015,1:36 PM,BAL-Camden Yards,"73 degrees, overcast","9 mph, Out to RF"
40006,6/28/2015,7:05 PM,BAL-Camden Yards,"74 degrees, cloudy","13 mph, Out to RF"
39455,6/28/2015,1:08 PM,DET-Comerica Pk,"69 degrees, partly cloudy","14 mph, L to R"
31961,6/28/2015,1:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
38387,6/28/2015,12:37 PM,LAA-Angel Stad,"86 degrees, partly cloudy","6 mph, Out to CF"
25147,6/28/2015,1:11 PM,MIA-loanDepot pk,"77 degrees, roof closed","0 mph, None"
38958,6/28/2015,1:11 PM,MIL-Am Fam Field,"76 degrees, partly cloudy","9 mph, Out to RF"
29640,6/28/2015,4:38 PM,NYM-Citi Field,"74 degrees, cloudy","5 mph, In from LF"
22477,6/28/2015,1:07 PM,OAK-Coliseum,"69 degrees, partly cloudy","13 mph, Out to RF"
0,6/28/2015,1:07 PM,PHI-CitizensBank,"77 degrees, partly cloudy","14 mph, L to R"
27126,6/28/2015,4:46 PM,PHI-CitizensBank,"76 degrees, cloudy","15 mph, Out to RF"
36082,6/28/2015,1:37 PM,PIT-PNC Pk,"63 degrees, cloudy","16 mph, Out to CF"
32223,6/28/2015,1:13 PM,SDP-Petco Pk,"78 degrees, partly cloudy","7 mph, L to R"
41795,6/28/2015,1:05 PM,SFG-Oracle Park,"69 degrees, partly cloudy","13 mph, Out to LF"
45384,6/28/2015,7:54 PM,STL-Busch Stad 3,"80 degrees, cloudy","6 mph, Out to LF"
21963,6/28/2015,1:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
42376,6/28/2015,1:07 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
41133,6/27/2015,3:11 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
40514,6/27/2015,4:17 PM,LAA-Angel Stad,"74 degrees, cloudy","8 mph, Out to CF"
24770,6/27/2015,4:11 PM,MIA-loanDepot pk,"77 degrees, roof closed","0 mph, None"
39977,6/27/2015,1:11 PM,MIL-Am Fam Field,"70 degrees, partly cloudy","10 mph, Out to LF"
32531,6/27/2015,4:12 PM,NYM-Citi Field,"68 degrees, drizzle","15 mph, In from RF"
28619,6/27/2015,1:07 PM,OAK-Coliseum,"70 degrees, cloudy","11 mph, Out to RF"
36417,6/27/2015,4:20 PM,PIT-PNC Pk,"75 degrees, cloudy","7 mph, L to R"
40717,6/27/2015,7:11 PM,SDP-Petco Pk,"70 degrees, cloudy","5 mph, Varies"
41746,6/27/2015,1:05 PM,SFG-Oracle Park,"69 degrees, partly cloudy","10 mph, Out to CF"
46407,6/27/2015,6:17 PM,STL-Busch Stad 3,"79 degrees, clear","7 mph, Out to RF"
23876,6/27/2015,4:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
37167,6/27/2015,1:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
31112,6/26/2015,7:08 PM,BAL-Camden Yards,"76 degrees, partly cloudy","3 mph, R to L"
38455,6/26/2015,7:08 PM,DET-Comerica Pk,"73 degrees, cloudy","7 mph, L to R"
37748,6/26/2015,7:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
41137,6/26/2015,7:08 PM,LAA-Angel Stad,"79 degrees, partly cloudy","6 mph, Out to RF"
21957,6/26/2015,7:12 PM,MIA-loanDepot pk,"78 degrees, roof closed","0 mph, None"
33296,6/26/2015,7:10 PM,MIL-Am Fam Field,"72 degrees, roof closed","0 mph, None"
28109,6/26/2015,7:11 PM,NYM-Citi Field,"77 degrees, partly cloudy","7 mph, In from RF"
27365,6/26/2015,7:08 PM,OAK-Coliseum,"63 degrees, clear","15 mph, Out to RF"
22292,6/26/2015,7:05 PM,PHI-CitizensBank,"78 degrees, partly cloudy","1 mph, R to L"
34220,6/26/2015,7:08 PM,PIT-PNC Pk,"77 degrees, cloudy","5 mph, In from LF"
30317,6/26/2015,7:11 PM,SDP-Petco Pk,"71 degrees, partly cloudy","9 mph, L to R"
41887,6/26/2015,7:15 PM,SFG-Oracle Park,"64 degrees, partly cloudy","16 mph, Out to CF"
45558,6/26/2015,7:16 PM,STL-Busch Stad 3,"78 degrees, partly cloudy","5 mph, L to R"
17508,6/26/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
25821,6/26/2015,7:07 PM,TOR-Rogers Ctr,"68 degrees, clear","3 mph, In from RF"
37706,6/25/2015,1:35 PM,BOS-Fenway Pk,"78 degrees, partly cloudy","7 mph, Out to CF"
41498,6/25/2015,1:22 PM,CHC-Wrigley Fld,"73 degrees, overcast","9 mph, R to L"
30568,6/25/2015,1:11 PM,COL-Coors Fld,"80 degrees, sunny","5 mph, Out to CF"
40355,6/25/2015,1:08 PM,DET-Comerica Pk,"70 degrees, overcast","3 mph, In from CF"
28643,6/25/2015,7:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
20733,6/25/2015,7:10 PM,MIA-loanDepot pk,"78 degrees, roof closed","0 mph, None"
33354,6/25/2015,1:10 PM,MIL-Am Fam Field,"69 degrees, cloudy","1 mph, Out to RF"
35015,6/25/2015,8:01 PM,PIT-PNC Pk,"65 degrees, overcast","4 mph, Out to RF"
41533,6/25/2015,12:45 PM,SFG-Oracle Park,"71 degrees, sunny","11 mph, Out to RF"
29251,6/25/2015,1:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
37874,6/25/2015,4:05 PM,WSN-Natls Park,"85 degrees, overcast","8 mph, R to L"
37762,6/24/2015,7:10 PM,BOS-Fenway Pk,"81 degrees, partly cloudy","15 mph, L to R"
36653,6/24/2015,7:11 PM,CHC-Wrigley Fld,"73 degrees, overcast","4 mph, In from RF"
20780,6/24/2015,12:10 PM,CLE-Progressive,"74 degrees, partly cloudy","7 mph, Out to CF"
30367,6/24/2015,7:26 PM,COL-Coors Fld,"63 degrees, overcast","9 mph, Out to CF"
33543,6/24/2015,12:37 PM,LAA-Angel Stad,"79 degrees, sunny","6 mph, Out to RF"
18492,6/24/2015,7:11 PM,MIA-loanDepot pk,"77 degrees, roof closed","0 mph, None"
22017,6/24/2015,7:10 PM,MIL-Am Fam Field,"76 degrees, overcast","12 mph, In from RF"
28854,6/24/2015,12:10 PM,MIN-Target Field,"74 degrees, cloudy","6 mph, R to L"
45877,6/24/2015,1:07 PM,NYY-Yankee Stad3,"80 degrees, sunny","11 mph, Out to RF"
37659,6/24/2015,7:08 PM,PIT-PNC Pk,"77 degrees, partly cloudy","7 mph, R to L"
23392,6/24/2015,7:10 PM,SEA-T-Mobile Pk,"76 degrees, partly cloudy","2 mph, Out to RF"
41744,6/24/2015,7:15 PM,SFG-Oracle Park,"63 degrees, clear","14 mph, Out to CF"
18469,6/24/2015,12:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
34216,6/24/2015,7:07 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
36141,6/24/2015,7:05 PM,WSN-Natls Park,"85 degrees, clear","9 mph, L to R"
36508,6/23/2015,7:12 PM,BOS-Fenway Pk,"82 degrees, cloudy","16 mph, Out to CF"
36799,6/23/2015,7:07 PM,CHC-Wrigley Fld,"68 degrees, clear","8 mph, R to L"
19156,6/23/2015,7:11 PM,CLE-Progressive,"74 degrees, clear","8 mph, L to R"
30079,6/23/2015,6:41 PM,COL-Coors Fld,"83 degrees, cloudy","5 mph, Out to CF"
41208,6/23/2015,7:09 PM,LAA-Angel Stad,"79 degrees, clear","9 mph, Out to LF"
21759,6/23/2015,7:13 PM,MIA-loanDepot pk,"77 degrees, roof closed","0 mph, None"
25055,6/23/2015,7:10 PM,MIL-Am Fam Field,"77 degrees, clear","8 mph, In from CF"
27349,6/23/2015,7:10 PM,MIN-Target Field,"79 degrees, partly cloudy","9 mph, Out to CF"
36198,6/23/2015,8:26 PM,NYY-Yankee Stad3,"81 degrees, overcast","7 mph, Out to CF"
26949,6/23/2015,7:09 PM,PIT-PNC Pk,"78 degrees, partly cloudy","9 mph, Out to CF"
17460,6/23/2015,7:10 PM,SEA-T-Mobile Pk,"78 degrees, clear","2 mph, In from LF"
42067,6/23/2015,7:17 PM,SFG-Oracle Park,"63 degrees, partly cloudy","17 mph, Out to CF"
11474,6/23/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
35889,6/23/2015,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
28344,6/23/2015,9:17 PM,WSN-Natls Park,"75 degrees, cloudy","7 mph, In from LF"
35147,6/22/2015,7:05 PM,CHC-Wrigley Fld,"82 degrees, overcast","14 mph, Out to LF"
15746,6/22/2015,7:20 PM,CLE-Progressive,"74 degrees, cloudy","14 mph, Out to LF"
34153,6/22/2015,7:07 PM,LAA-Angel Stad,"77 degrees, partly cloudy","8 mph, Out to CF"
24094,6/22/2015,7:09 PM,MIN-Target Field,"80 degrees, partly cloudy","19 mph, Varies"
36883,6/22/2015,7:09 PM,NYY-Yankee Stad3,"86 degrees, partly cloudy","4 mph, R to L"
23588,6/22/2015,7:10 PM,SEA-T-Mobile Pk,"74 degrees, clear","1 mph, Varies"
10324,6/22/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
35590,6/21/2015,1:11 PM,ARI-Chase Field,"79 degrees, roof closed","0 mph, None"
30268,6/21/2015,5:08 PM,ATL-Truist Pk,"93 degrees, partly cloudy","8 mph, L to R"
33668,6/21/2015,1:11 PM,CHW-Guaranteed,"90 degrees, partly cloudy","5 mph, In from LF"
36780,6/21/2015,1:11 PM,CIN-GreatAmer BP,"85 degrees, sunny","11 mph, Varies"
20847,6/21/2015,1:09 PM,CLE-Progressive,"74 degrees, cloudy","8 mph, L to R"
41487,6/21/2015,2:12 PM,COL-Coors Fld,"85 degrees, partly cloudy","5 mph, Out to RF"
37975,6/21/2015,1:13 PM,KCR-KauffmanStad,"76 degrees, overcast","9 mph, R to L"
53509,6/21/2015,5:08 PM,LAD-Dodger Stad,"79 degrees, sunny","9 mph, Out to RF"
40273,6/21/2015,1:11 PM,MIN-Target Field,"81 degrees, partly cloudy","3 mph, Out to CF"
38691,6/21/2015,1:09 PM,NYY-Yankee Stad3,"81 degrees, partly cloudy","17 mph, L to R"
29137,6/21/2015,1:07 PM,OAK-Coliseum,"63 degrees, sunny","13 mph, Out to RF"
30423,6/21/2015,1:37 PM,PHI-CitizensBank,"85 degrees, cloudy","15 mph, L to R"
40905,6/21/2015,1:10 PM,SEA-T-Mobile Pk,"68 degrees, sunny","1 mph, L to R"
46092,6/21/2015,1:07 PM,TOR-Rogers Ctr,"82 degrees, partly cloudy","13 mph, L to R"
40015,6/21/2015,1:37 PM,WSN-Natls Park,"87 degrees, cloudy","11 mph, L to R"
33649,6/20/2015,7:10 PM,ARI-Chase Field,"79 degrees, roof closed","0 mph, None"
40733,6/20/2015,7:11 PM,ATL-Truist Pk,"79 degrees, partly cloudy","9 mph, L to R"
25738,6/20/2015,1:10 PM,CHW-Guaranteed,"76 degrees, cloudy","5 mph, L to R"
36755,6/20/2015,7:11 PM,CIN-GreatAmer BP,"81 degrees, overcast","4 mph, Varies"
24670,6/20/2015,7:09 PM,CLE-Progressive,"78 degrees, partly cloudy","5 mph, Out to LF"
35180,6/20/2015,2:11 PM,COL-Coors Fld,"82 degrees, sunny","5 mph, R to L"
39115,6/20/2015,6:11 PM,KCR-KauffmanStad,"94 degrees, clear","18 mph, R to L"
53123,6/20/2015,4:15 PM,LAD-Dodger Stad,"83 degrees, sunny","6 mph, L to R"
40066,6/20/2015,1:11 PM,MIN-Target Field,"76 degrees, partly cloudy","13 mph, R to L"
48092,6/20/2015,7:16 PM,NYY-Yankee Stad3,"67 degrees, cloudy","9 mph, In from LF"
26471,6/20/2015,1:07 PM,OAK-Coliseum,"66 degrees, cloudy","12 mph, Out to RF"
24256,6/20/2015,7:05 PM,PHI-CitizensBank,"82 degrees, cloudy","11 mph, R to L"
26770,6/20/2015,7:10 PM,SEA-T-Mobile Pk,"72 degrees, clear","3 mph, In from LF"
46018,6/20/2015,1:07 PM,TOR-Rogers Ctr,"63 degrees, sunny","18 mph, R to L"
41104,6/20/2015,4:05 PM,WSN-Natls Park,"91 degrees, cloudy","2 mph, R to L"
27394,6/19/2015,6:40 PM,ARI-Chase Field,"81 degrees, roof closed","0 mph, None"
28853,6/19/2015,7:35 PM,ATL-Truist Pk,"89 degrees, partly cloudy","12 mph, L to R"
22864,6/19/2015,7:10 PM,CHW-Guaranteed,"61 degrees, cloudy","13 mph, L to R"
33379,6/19/2015,7:11 PM,CIN-GreatAmer BP,"75 degrees, overcast","5 mph, In from LF"
22811,6/19/2015,7:10 PM,CLE-Progressive,"68 degrees, cloudy","8 mph, In from RF"
35841,6/19/2015,6:42 PM,COL-Coors Fld,"86 degrees, clear","6 mph, R to L"
38190,6/19/2015,7:10 PM,KCR-KauffmanStad,"84 degrees, clear","6 mph, In from RF"
52503,6/19/2015,7:10 PM,LAD-Dodger Stad,"79 degrees, clear","6 mph, Out to RF"
36817,6/19/2015,7:11 PM,MIN-Target Field,"78 degrees, overcast","12 mph, R to L"
44588,6/19/2015,7:09 PM,NYY-Yankee Stad3,"81 degrees, partly cloudy","12 mph, In from RF"
25528,6/19/2015,6:38 PM,OAK-Coliseum,"63 degrees, partly cloudy","14 mph, Out to RF"
21169,6/19/2015,7:07 PM,PHI-CitizensBank,"83 degrees, cloudy","4 mph, L to R"
40914,6/19/2015,7:10 PM,SEA-T-Mobile Pk,"70 degrees, partly cloudy","1 mph, In from CF"
32322,6/19/2015,7:07 PM,TOR-Rogers Ctr,"64 degrees, cloudy","8 mph, Out to RF"
38935,6/19/2015,7:05 PM,WSN-Natls Park,"84 degrees, cloudy","5 mph, L to R"
28942,6/18/2015,12:41 PM,ARI-Chase Field,"80 degrees, roof closed","0 mph, None"
31783,6/18/2015,7:55 PM,ATL-Truist Pk,"75 degrees, overcast","2 mph, Out to CF"
21296,6/18/2015,7:10 PM,CHW-Guaranteed,"77 degrees, cloudy","12 mph, Out to CF"
15891,6/18/2015,7:35 PM,CLE-Progressive,"75 degrees, overcast","2 mph, Out to CF"
30770,6/18/2015,1:12 PM,COL-Coors Fld,"72 degrees, partly cloudy","8 mph, Varies"
36318,6/18/2015,7:11 PM,KCR-KauffmanStad,"79 degrees, cloudy","9 mph, L to R"
46977,6/18/2015,7:10 PM,LAD-Dodger Stad,"74 degrees, clear","4 mph, Out to RF"
34648,6/18/2015,12:11 PM,MIN-Target Field,"72 degrees, partly cloudy","6 mph, In from LF"
38239,6/18/2015,7:09 PM,NYY-Yankee Stad3,"67 degrees, overcast","6 mph, R to L"
16643,6/18/2015,12:37 PM,OAK-Coliseum,"61 degrees, sunny","12 mph, Out to RF"
26220,6/18/2015,1:07 PM,PHI-CitizensBank,"66 degrees, cloudy","7 mph, Out to LF"
34354,6/18/2015,7:10 PM,SEA-T-Mobile Pk,"68 degrees, partly cloudy","3 mph, L to R"
27588,6/18/2015,7:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
29242,6/18/2015,7:05 PM,WSN-Natls Park,"77 degrees, cloudy","3 mph, R to L"
28481,6/17/2015,6:40 PM,ARI-Chase Field,"79 degrees, roof closed","0 mph, None"
28982,6/17/2015,7:10 PM,ATL-Truist Pk,"93 degrees, partly cloudy","9 mph, Out to CF"
19194,6/17/2015,7:11 PM,CHW-Guaranteed,"69 degrees, overcast","5 mph, L to R"
32546,6/17/2015,7:10 PM,CIN-GreatAmer BP,"78 degrees, cloudy","7 mph, Varies"
15572,6/17/2015,7:10 PM,CLE-Progressive,"71 degrees, cloudy","7 mph, In from RF"
33041,6/17/2015,6:42 PM,COL-Coors Fld,"75 degrees, partly cloudy","9 mph, R to L"
33420,6/17/2015,7:09 PM,KCR-KauffmanStad,"83 degrees, cloudy","6 mph, R to L"
42906,6/17/2015,7:10 PM,LAD-Dodger Stad,"72 degrees, clear","6 mph, Out to RF"
34381,6/17/2015,7:10 PM,MIN-Target Field,"69 degrees, cloudy","10 mph, Out to RF"
43048,6/17/2015,7:08 PM,NYY-Yankee Stad3,"70 degrees, cloudy","6 mph, R to L"
20625,6/17/2015,7:07 PM,OAK-Coliseum,"60 degrees, clear","12 mph, Out to RF"
26162,6/17/2015,7:07 PM,PHI-CitizensBank,"76 degrees, cloudy","11 mph, Out to LF"
34844,6/17/2015,7:10 PM,SEA-T-Mobile Pk,"72 degrees, clear","4 mph, In from CF"
28906,6/17/2015,7:07 PM,TOR-Rogers Ctr,"63 degrees, partly cloudy","14 mph, In from RF"
28929,6/17/2015,7:08 PM,WSN-Natls Park,"77 degrees, cloudy","1 mph, Out to RF"
26964,6/16/2015,7:06 PM,BAL-Camden Yards,"88 degrees, partly cloudy","3 mph, Out to RF"
35662,6/16/2015,4:05 PM,BOS-Fenway Pk,"63 degrees, cloudy","6 mph, In from RF"
35914,6/16/2015,7:07 PM,CHC-Wrigley Fld,"64 degrees, partly cloudy","8 mph, In from CF"
33774,6/16/2015,7:08 PM,DET-Comerica Pk,"82 degrees, partly cloudy","11 mph, L to R"
22245,6/16/2015,1:13 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
40099,6/16/2015,7:07 PM,LAA-Angel Stad,"70 degrees, clear","7 mph, Out to CF"
33083,6/16/2015,7:10 PM,MIA-loanDepot pk,"72 degrees, roof closed","0 mph, None"
27740,6/16/2015,7:11 PM,MIL-Am Fam Field,"70 degrees, roof closed","0 mph, None"
24522,6/16/2015,7:12 PM,NYM-Citi Field,"74 degrees, overcast","10 mph, Out to LF"
28413,6/16/2015,7:07 PM,PIT-PNC Pk,"79 degrees, partly cloudy","11 mph, Out to RF"
28482,6/16/2015,12:41 PM,SDP-Petco Pk,"67 degrees, overcast","5 mph, L to R"
41267,6/16/2015,12:45 PM,SFG-Oracle Park,"63 degrees, sunny","12 mph, R to L"
41203,6/16/2015,12:46 PM,STL-Busch Stad 3,"80 degrees, overcast","2 mph, In from RF"
11491,6/16/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
31897,6/16/2015,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
23730,6/15/2015,7:32 PM,BAL-Camden Yards,"79 degrees, partly cloudy","2 mph, Out to RF"
34439,6/15/2015,7:11 PM,BOS-Fenway Pk,"54 degrees, drizzle","11 mph, R to L"
29884,6/15/2015,7:08 PM,DET-Comerica Pk,"75 degrees, overcast","5 mph, R to L"
21820,6/15/2015,7:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
35193,6/15/2015,7:08 PM,LAA-Angel Stad,"75 degrees, clear","5 mph, R to L"
33961,6/15/2015,7:11 PM,MIA-loanDepot pk,"72 degrees, roof closed","0 mph, None"
23007,6/15/2015,7:10 PM,MIL-Am Fam Field,"75 degrees, roof closed","0 mph, None"
22172,6/15/2015,7:11 PM,NYM-Citi Field,"63 degrees, cloudy","24 mph, In from CF"
24536,6/15/2015,7:09 PM,PIT-PNC Pk,"82 degrees, cloudy","13 mph, R to L"
30018,6/15/2015,7:12 PM,SDP-Petco Pk,"67 degrees, partly cloudy","7 mph, L to R"
42099,6/15/2015,7:15 PM,SFG-Oracle Park,"58 degrees, overcast","17 mph, Out to CF"
43174,6/15/2015,7:35 PM,STL-Busch Stad 3,"78 degrees, cloudy","6 mph, Out to RF"
10216,6/15/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
32248,6/15/2015,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
36343,6/14/2015,1:38 PM,BAL-Camden Yards,"92 degrees, overcast","1 mph, Out to LF"
36296,6/14/2015,1:37 PM,BOS-Fenway Pk,"72 degrees, partly cloudy","11 mph, In from RF"
33201,6/14/2015,7:09 PM,CHC-Wrigley Fld,"70 degrees, partly cloudy","6 mph, In from RF"
36994,6/14/2015,1:08 PM,DET-Comerica Pk,"74 degrees, overcast","10 mph, R to L"
29153,6/14/2015,1:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
35143,6/14/2015,12:38 PM,LAA-Angel Stad,"72 degrees, sunny","6 mph, Out to RF"
20879,6/14/2015,1:11 PM,MIA-loanDepot pk,"74 degrees, roof closed","0 mph, None"
34964,6/14/2015,1:11 PM,MIL-Am Fam Field,"74 degrees, cloudy","3 mph, Out to CF"
36340,6/14/2015,1:12 PM,NYM-Citi Field,"84 degrees, partly cloudy","11 mph, In from RF"
34518,6/14/2015,1:40 PM,PIT-PNC Pk,"75 degrees, cloudy","8 mph, Out to LF"
40056,6/14/2015,1:11 PM,SDP-Petco Pk,"68 degrees, overcast","7 mph, L to R"
41310,6/14/2015,1:05 PM,SFG-Oracle Park,"63 degrees, partly cloudy","11 mph, Out to CF"
17962,6/14/2015,1:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
33970,6/14/2015,2:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
38909,6/13/2015,7:17 PM,BAL-Camden Yards,"88 degrees, partly cloudy","2 mph, In from LF"
37158,6/13/2015,1:36 PM,BOS-Fenway Pk,"68 degrees, cloudy","8 mph, Out to CF"
40693,6/13/2015,6:15 PM,CHC-Wrigley Fld,"59 degrees, cloudy","6 mph, In from LF"
41620,6/13/2015,4:09 PM,DET-Comerica Pk,"65 degrees, cloudy","9 mph, In from CF"
36762,6/13/2015,3:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
43548,6/13/2015,7:09 PM,LAA-Angel Stad,"70 degrees, clear","6 mph, L to R"
26647,6/13/2015,4:11 PM,MIA-loanDepot pk,"71 degrees, roof closed","0 mph, None"
36800,6/13/2015,3:10 PM,MIL-Am Fam Field,"67 degrees, roof closed","0 mph, None"
37734,6/13/2015,4:11 PM,NYM-Citi Field,"84 degrees, partly cloudy","6 mph, L to R"
37516,6/13/2015,4:07 PM,PIT-PNC Pk,"84 degrees, cloudy","4 mph, Out to LF"
43525,6/13/2015,7:11 PM,SDP-Petco Pk,"66 degrees, cloudy","7 mph, Varies"
42006,6/13/2015,4:15 PM,SFG-Oracle Park,"65 degrees, partly cloudy","15 mph, Out to CF"
45981,6/13/2015,3:12 PM,STL-Busch Stad 3,"87 degrees, partly cloudy","10 mph, R to L"
20248,6/13/2015,4:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
28661,6/13/2015,3:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
33203,6/12/2015,7:06 PM,BAL-Camden Yards,"89 degrees, partly cloudy","4 mph, Out to RF"
37575,6/12/2015,7:12 PM,BOS-Fenway Pk,"66 degrees, partly cloudy","7 mph, R to L"
40016,6/12/2015,3:05 PM,CHC-Wrigley Fld,"52 degrees, drizzle","7 mph, In from CF"
35379,6/12/2015,7:08 PM,DET-Comerica Pk,"74 degrees, cloudy","11 mph, Out to CF"
32173,6/12/2015,7:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
42113,6/12/2015,7:07 PM,LAA-Angel Stad,"70 degrees, partly cloudy","6 mph, R to L"
20355,6/12/2015,7:13 PM,MIA-loanDepot pk,"76 degrees, roof closed","0 mph, None"
31815,6/12/2015,7:10 PM,MIL-Am Fam Field,"69 degrees, roof closed","0 mph, None"
32554,6/12/2015,7:11 PM,NYM-Citi Field,"81 degrees, cloudy","11 mph, Out to LF"
33749,6/12/2015,8:31 PM,PIT-PNC Pk,"71 degrees, partly cloudy","14 mph, Out to LF"
39037,6/12/2015,7:12 PM,SDP-Petco Pk,"65 degrees, cloudy","5 mph, L to R"
41952,6/12/2015,7:15 PM,SFG-Oracle Park,"66 degrees, clear","12 mph, Out to CF"
45909,6/12/2015,7:15 PM,STL-Busch Stad 3,"81 degrees, overcast","13 mph, Out to LF"
13448,6/12/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
41765,6/12/2015,7:06 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
25759,6/11/2015,1:06 PM,ATL-Truist Pk,"74 degrees, partly cloudy","2 mph, L to R"
22840,6/11/2015,7:06 PM,BAL-Camden Yards,"90 degrees, clear","2 mph, L to R"
35031,6/11/2015,7:06 PM,CHC-Wrigley Fld,"61 degrees, cloudy","15 mph, In from RF"
15316,6/11/2015,12:10 PM,CLE-Progressive,"72 degrees, cloudy","14 mph, In from CF"
18003,6/11/2015,7:11 PM,MIA-loanDepot pk,"73 degrees, roof closed","0 mph, None"
26371,6/11/2015,7:11 PM,MIL-Am Fam Field,"70 degrees, roof closed","0 mph, None"
25143,6/11/2015,7:11 PM,NYM-Citi Field,"91 degrees, partly cloudy","9 mph, Out to RF"
14489,6/11/2015,12:37 PM,OAK-Coliseum,"68 degrees, sunny","3 mph, Out to LF"
10779,6/11/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
21465,6/10/2015,7:11 PM,ATL-Truist Pk,"81 degrees, partly cloudy","7 mph, R to L"
22201,6/10/2015,7:09 PM,BAL-Camden Yards,"82 degrees, partly cloudy","5 mph, Out to RF"
17455,6/10/2015,7:10 PM,CHW-Guaranteed,"68 degrees, partly cloudy","8 mph, Out to RF"
32994,6/10/2015,12:37 PM,CIN-GreatAmer BP,"86 degrees, partly cloudy","7 mph, Varies"
12305,6/10/2015,7:11 PM,CLE-Progressive,"88 degrees, partly cloudy","18 mph, Out to RF"
30698,6/10/2015,1:10 PM,COL-Coors Fld,"68 degrees, partly cloudy","11 mph, R to L"
33397,6/10/2015,7:08 PM,DET-Comerica Pk,"87 degrees, partly cloudy","18 mph, Out to CF"
47174,6/10/2015,7:10 PM,LAD-Dodger Stad,"70 degrees, clear","8 mph, Out to RF"
28434,6/10/2015,7:10 PM,MIN-Target Field,"78 degrees, partly cloudy","9 mph, L to R"
24436,6/10/2015,7:11 PM,NYM-Citi Field,"76 degrees, partly cloudy","6 mph, Out to LF"
39847,6/10/2015,1:08 PM,NYY-Yankee Stad3,"81 degrees, partly cloudy","10 mph, Out to CF"
14290,6/10/2015,7:07 PM,OAK-Coliseum,"63 degrees, cloudy","13 mph, Out to RF"
26269,6/10/2015,7:06 PM,PIT-PNC Pk,"83 degrees, partly cloudy","16 mph, R to L"
10088,6/10/2015,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
44106,6/10/2015,12:37 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
24049,6/9/2015,8:00 PM,ATL-Truist Pk,"72 degrees, drizzle","13 mph, Out to CF"
28460,6/9/2015,7:06 PM,BAL-Camden Yards,"82 degrees, partly cloudy","4 mph, R to L"
18439,6/9/2015,7:10 PM,CHW-Guaranteed,"86 degrees, clear","16 mph, R to L"
27993,6/9/2015,7:10 PM,CIN-GreatAmer BP,"79 degrees, partly cloudy","6 mph, Out to LF"
11425,6/9/2015,7:10 PM,CLE-Progressive,"72 degrees, clear","3 mph, L to R"
33731,6/9/2015,7:47 PM,COL-Coors Fld,"73 degrees, cloudy","10 mph, R to L"
33301,6/9/2015,7:08 PM,DET-Comerica Pk,"77 degrees, partly cloudy","7 mph, R to L"
37738,6/9/2015,7:10 PM,LAD-Dodger Stad,"82 degrees, drizzle","7 mph, L to R"
22497,6/9/2015,7:11 PM,MIN-Target Field,"92 degrees, partly cloudy","13 mph, Out to LF"
23155,6/9/2015,7:12 PM,NYM-Citi Field,"81 degrees, partly cloudy","13 mph, L to R"
36613,6/9/2015,7:09 PM,NYY-Yankee Stad3,"83 degrees, partly cloudy","20 mph, Out to LF"
